,timestamp,open,high,low,close,volume
0,2022-09-09,158.0,159.75,156.95,157.52,5782876
1,2022-09-08,155.0,158.3,153.84,157.79,4949112
2,2022-09-07,151.26,156.345,150.87,155.95,5298579
3,2022-09-06,152.39,154.48,150.46,152.39,5157943
4,2022-09-02,155.19,156.99,151.48,151.82,5262774
5,2022-09-01,158.0,158.9,150.82,153.66,7651999
6,2022-08-31,163.0,163.551,160.14,160.25,4123490
7,2022-08-30,167.27,169.92,160.7201,162.21,6248628
8,2022-08-29,162.28,166.9021,162.2,165.42,4714384
9,2022-08-26,170.0,171.37,164.27,164.53,4957414
10,2022-08-25,164.56,169.65,163.7,169.38,4949408
11,2022-08-24,162.27,164.14,161.3801,163.6,4211287
12,2022-08-23,159.14,161.6899,159.0806,160.07,3425179
13,2022-08-22,159.4,160.2682,157.91,158.98,5312327
14,2022-08-19,166.33,166.84,162.58,162.92,5736069
15,2022-08-18,167.2,169.1799,165.77,168.69,4404601
16,2022-08-17,169.61,169.85,166.09,167.2,6533521
17,2022-08-16,170.0,173.85,169.15,172.08,5259589
18,2022-08-15,169.29,172.55,168.32,170.47,4734688
19,2022-08-12,168.39,170.11,167.57,169.99,4345220
20,2022-08-11,170.5,171.7599,167.05,167.88,4996809
21,2022-08-10,168.35,171.14,167.25,169.02,7181681
22,2022-08-09,166.51,166.51,163.45,164.85,6064750
23,2022-08-08,166.41,171.09,164.7115,165.89,11311693
24,2022-08-05,164.4,167.07,163.93,165.04,4709123
25,2022-08-04,165.77,168.12,164.41,166.5,5039567
26,2022-08-03,164.51,167.52,162.33,166.64,6709072
27,2022-08-02,167.0,167.325,163.14,163.28,10874319
28,2022-08-01,165.95,171.76,164.25,169.07,18321564
29,2022-07-29,157.95,159.84,155.54,159.31,5743489
30,2022-07-28,154.02,160.1,153.03,159.09,8729065
31,2022-07-27,161.12,162.74,152.8,156.09,16356645
32,2022-07-26,155.24,158.18,154.5,155.92,6053054
33,2022-07-25,156.94,157.31,152.84,156.64,5764734
34,2022-07-22,161.8,163.3399,157.77,158.16,7594878
35,2022-07-21,158.89,161.655,156.19,161.41,8044091
36,2022-07-20,156.0,159.4,154.26,158.38,8668596
37,2022-07-19,149.61,156.28,148.97,156.13,14182970
38,2022-07-18,153.305,155.94,147.2,147.72,13948498
39,2022-07-15,149.17,149.7359,144.65,147.74,7910408
40,2022-07-14,141.11,147.49,140.61,147.15,9456114
41,2022-07-13,142.785,146.41,142.18,143.95,9038684
42,2022-07-12,136.86,149.32,136.81,147.15,18598189
43,2022-07-11,137.77,139.24,134.89,136.99,6180548
44,2022-07-08,139.7,140.7391,137.3747,139.07,5655499
45,2022-07-07,137.93,142.275,137.8985,139.97,7674390
46,2022-07-06,137.54,138.71,134.46,136.31,6608039
47,2022-07-05,136.25,138.07,131.29,137.7,10073971
48,2022-07-01,135.88,141.79,135.4,139.84,7627130
49,2022-06-30,134.3,137.49,131.6,136.72,8455129
50,2022-06-29,138.61,138.92,134.84,138.45,7489226
51,2022-06-28,140.89,147.18,138.54,138.7,12142256
52,2022-06-27,140.28,140.5725,136.22,138.72,8457424
53,2022-06-24,135.01,141.87,134.95,141.53,13626216
54,2022-06-23,136.42,137.42,130.0917,133.97,10746906
55,2022-06-22,134.03,138.79,133.28,137.16,7717692
56,2022-06-21,139.17,140.9395,135.84,136.75,10519904
57,2022-06-17,132.25,138.98,131.5,136.8,16042484
58,2022-06-16,131.7,135.34,131.26,133.36,19543638
59,2022-06-15,124.35,134.99,123.83,133.72,25997847
60,2022-06-14,116.65,122.19,113.02,122.16,17549811
61,2022-06-13,123.0,123.25,114.14,115.86,16778494
62,2022-06-10,130.27,132.1949,126.85,127.0,7776856
63,2022-06-09,139.35,139.66,133.7,133.73,6018982
64,2022-06-08,139.13,142.2063,138.4401,139.63,5833696
65,2022-06-07,137.49,141.24,135.91,140.82,5436085
66,2022-06-06,139.99,141.14,136.83,139.24,6354823
67,2022-06-03,138.52,140.7,137.585,139.25,10091798
68,2022-06-02,132.14,140.55,131.87,140.5,12777039
69,2022-06-01,133.0,134.33,127.01,130.65,9991563
70,2022-05-31,131.03,132.99,128.86,131.4,7953651
71,2022-05-27,128.77,132.23,128.32,132.23,7261516
72,2022-05-26,123.1,128.8416,122.74,127.73,8333861
73,2022-05-25,119.17,122.595,118.76,122.06,7707912
74,2022-05-24,122.44,122.7,117.29,119.4,9092426
75,2022-05-23,121.7,124.48,120.34,124.07,9341490
76,2022-05-20,128.77,128.85,117.08,120.7,18822241
77,2022-05-19,124.4,128.4,123.7,127.14,8075776
78,2022-05-18,130.34,132.1,124.36,125.52,9567609
79,2022-05-17,126.905,132.83,125.79,132.05,12154220
80,2022-05-16,127.05,131.1242,122.35,124.05,10631557
81,2022-05-13,124.98,130.8,122.38,127.2,20891522
82,2022-05-12,126.89,128.53,120.28,123.14,15891332
83,2022-05-11,132.95,138.96,129.11,129.39,11388355
84,2022-05-10,136.76,137.835,130.3301,132.95,11781424
85,2022-05-09,146.0,146.95,132.65,133.31,12593832
86,2022-05-06,149.96,150.9,145.85,148.9,7697850
87,2022-05-05,155.69,157.99,149.05,150.47,7950792
88,2022-05-04,152.91,157.14,150.7723,156.97,9481537
89,2022-05-03,149.09,154.4494,147.91,153.58,10149453
90,2022-05-02,148.02,149.4517,143.3821,148.61,12399196
91,2022-04-29,153.44,157.0299,148.52,148.84,10896594
92,2022-04-28,156.61,156.79,149.0,154.22,13518816
93,2022-04-27,161.25,161.25,146.0,154.46,40371727
94,2022-04-26,174.76,174.87,166.85,167.04,9200896
95,2022-04-25,174.51,176.08,172.45,175.91,6293100
96,2022-04-22,180.78,182.67,176.5,176.92,6372406
97,2022-04-21,188.73,189.85,180.55,181.02,7446130
98,2022-04-20,187.24,187.34,182.86,183.55,6731472
99,2022-04-19,180.36,187.61,180.28,185.98,7485607
100,2022-04-18,181.45,182.46,178.55,179.85,5042585
101,2022-04-14,182.75,185.54,181.64,181.94,5144620
102,2022-04-13,176.96,183.46,176.96,182.87,7399856
103,2022-04-12,175.5,178.5,174.53,176.28,6125106
104,2022-04-11,173.84,179.67,173.4,175.03,6001124
105,2022-04-08,176.54,178.13,174.24,175.2,6524064
106,2022-04-07,178.13,178.66,173.87,177.97,7517791
107,2022-04-06,180.4,180.57,176.5802,178.72,8173868
108,2022-04-05,189.7,192.35,182.52,182.65,9317523
109,2022-04-04,190.02,191.8448,186.91,191.18,7799600
110,2022-04-01,192.58,192.616,188.78,190.76,4862109
111,2022-03-31,195.0,197.5799,191.45,191.5,6447933
112,2022-03-30,192.32,197.45,191.36,194.91,9959326
113,2022-03-29,191.62,196.36,191.2,193.8,8438704
114,2022-03-28,188.43,189.26,184.47,188.16,6904146
115,2022-03-25,187.76,191.7,186.93,188.95,6232765
116,2022-03-24,186.35,189.19,184.72,189.05,7094360
117,2022-03-23,189.67,190.16,185.03,186.04,8297782
118,2022-03-22,185.24,192.8629,184.52,191.04,14231742
119,2022-03-21,184.4,187.265,180.61,185.9,27194402
120,2022-03-18,192.07,193.38,190.1,192.83,12771265
121,2022-03-17,186.36,190.24,185.27,190.19,8126616
122,2022-03-16,183.39,189.6,182.3,188.99,12077525
123,2022-03-15,176.3,180.5,175.6,179.89,8051498
124,2022-03-14,175.88,178.2289,172.57,175.52,8138882
125,2022-03-11,183.59,184.86,175.95,176.23,9373598
126,2022-03-10,175.76,182.02,175.39,178.39,8364100
127,2022-03-09,179.8,182.87,177.41,178.56,10062148
128,2022-03-08,169.73,180.82,167.58,173.8,13715459
129,2022-03-07,181.03,182.72,169.06,169.17,12847456
130,2022-03-04,187.37,188.3203,178.97,180.84,13104580
131,2022-03-03,197.94,198.5,188.71,188.85,12424491
132,2022-03-02,196.27,199.85,194.6413,197.81,7463406
133,2022-03-01,203.11,203.5,192.93,194.91,11799494
134,2022-02-28,198.58,207.31,196.75,205.34,9859273
135,2022-02-25,201.09,204.07,199.1006,201.48,8730302
136,2022-02-24,189.29,198.855,186.88,198.43,12207625
137,2022-02-23,201.13,203.2499,195.91,196.42,7326312
138,2022-02-22,205.0,206.9,197.82,198.74,10265021
139,2022-02-18,212.56,214.7288,208.6,209.03,6973602
140,2022-02-17,218.47,218.5799,212.67,213.58,6176575
141,2022-02-16,216.1,219.68,215.28,218.93,5698917
142,2022-02-15,214.84,219.5394,213.69,217.73,10461008
143,2022-02-14,213.0,215.63,208.76,210.04,6481404
144,2022-02-11,217.87,221.42,210.27,212.3,11443738
145,2022-02-10,213.71,223.23,213.695,218.75,11695860
146,2022-02-09,214.91,217.04,213.3004,215.86,7587730
147,2022-02-08,212.68,213.87,209.69,213.27,7356230
148,2022-02-07,205.79,214.37,205.42,211.92,11816911
149,2022-02-04,205.0,208.25,203.1,206.45,5952563
150,2022-02-03,206.06,209.1,204.26,206.39,7054722
151,2022-02-02,205.43,208.3857,203.21,207.52,7843739
152,2022-02-01,202.48,208.89,200.495,208.34,12265145
153,2022-01-31,190.73,200.34,190.0,200.24,15504556
154,2022-01-28,188.78,190.72,183.77,190.57,10966711
155,2022-01-27,196.38,199.7073,188.64,189.75,12670070
156,2022-01-26,206.214,206.214,191.92,194.27,19974396
157,2022-01-25,200.1,205.63,197.5501,204.1,8824460
158,2022-01-24,199.85,204.8,192.51,204.2,13810337
159,2022-01-21,213.79,213.79,204.57,205.44,11548497
160,2022-01-20,217.38,221.95,213.42,214.19,7636803
161,2022-01-19,225.1,225.42,216.94,217.08,9322104
162,2022-01-18,224.5,229.67,224.26,225.01,8883285
163,2022-01-14,222.16,226.2,220.25,225.96,8053460
164,2022-01-13,222.25,226.89,220.05,223.9,17628012
165,2022-01-12,217.09,221.24,216.3,217.45,9134501
166,2022-01-11,209.0,217.03,208.41,216.02,8052093
167,2022-01-10,214.26,215.28,207.13,209.31,8229019
168,2022-01-07,212.98,218.32,212.3825,215.5,9526395
169,2022-01-06,214.64,216.0,207.86,211.34,7142191
170,2022-01-05,216.64,218.93,211.81,213.07,11564732
171,2022-01-04,211.3,214.5555,209.78,213.63,11414562
172,2022-01-03,204.0,210.55,203.34,207.86,9074592
173,2021-12-31,202.2,203.69,200.03,201.32,8016593
174,2021-12-30,203.0,206.0,202.6,202.71,7012644
175,2021-12-29,205.36,205.41,202.6,203.66,6119004
176,2021-12-28,202.23,208.9373,201.65,206.13,8885989
177,2021-12-27,201.99,203.43,199.1,203.17,7826624
178,2021-12-23,202.13,205.13,201.32,204.22,7415194
179,2021-12-22,199.46,202.93,197.94,201.69,8145344
180,2021-12-21,190.28,199.69,190.04,199.52,12082319
181,2021-12-20,188.11,190.36,185.26,188.48,10256377
182,2021-12-17,190.27,194.77,187.88,192.63,12642000
183,2021-12-16,197.0,198.3175,190.44,190.79,8216806
184,2021-12-15,195.28,196.5799,190.32,195.43,10535864
185,2021-12-14,195.6,200.5,195.18,195.5,8445068
186,2021-12-13,202.5,202.81,195.55,197.4,10619582
187,2021-12-10,208.81,209.0,203.48,205.06,6040048
188,2021-12-09,207.53,208.545,205.2,207.56,7011011
189,2021-12-08,209.18,212.6799,207.71,211.03,6986783
190,2021-12-07,207.06,211.65,206.38,208.83,10387919
191,2021-12-06,199.77,206.4201,199.2,205.88,11587882
192,2021-12-03,198.7,199.9,195.4201,198.49,10742710
193,2021-12-02,196.8,202.54,192.41,202.38,20435443
194,2021-12-01,200.81,201.62,188.0,188.19,13321994
195,2021-11-30,196.02,198.82,193.85,197.85,12638924
196,2021-11-29,201.87,204.28,195.33,198.5,12276237
197,2021-11-26,197.57,199.42,194.0,199.21,17636637
198,2021-11-24,207.52,211.22,206.87,210.6,5437620
199,2021-11-23,211.5,212.99,207.77,209.13,8882817
200,2021-11-22,215.0,215.02,208.95,209.9,10764317
201,2021-11-19,225.07,225.33,213.23,214.13,20844074
202,2021-11-18,230.3,231.5,224.951,227.25,10983711
203,2021-11-17,229.54,231.32,224.2,226.62,10750940
204,2021-11-16,232.94,232.95,225.51,225.8,10120193
205,2021-11-15,227.37,233.94,226.92,233.09,21921856
206,2021-11-12,219.72,223.75,218.9,220.96,6286070
207,2021-11-11,220.5,222.65,218.9,219.38,6567341
208,2021-11-10,219.36,225.68,217.27,218.5,8197584
209,2021-11-09,222.49,222.85,217.54,220.79,6835312
210,2021-11-08,225.24,226.99,222.11,222.68,9456055
211,2021-11-05,217.7,224.58,217.7,224.46,16936327
212,2021-11-04,213.8,214.82,211.87,213.03,5849588
213,2021-11-03,211.47,213.76,210.8721,213.38,4636071
214,2021-11-02,213.83,215.715,210.7,212.77,6137712
215,2021-11-01,207.0,214.69,206.81,214.58,9182168
216,2021-10-29,206.84,208.24,205.29,207.03,8559535
217,2021-10-28,206.0,208.74,204.6,207.85,8825454
218,2021-10-27,212.85,212.9,205.64,206.61,14761728
219,2021-10-26,213.19,214.85,208.18,209.81,11014461
220,2021-10-25,213.25,213.9785,211.7,212.87,7239142
221,2021-10-22,214.6,216.72,212.575,212.97,7077636
222,2021-10-21,216.54,218.1122,213.81,214.34,8691450
223,2021-10-20,215.49,218.66,214.35,216.17,8485162
224,2021-10-19,217.47,217.6585,215.28,215.97,5963390
225,2021-10-18,216.0,217.28,214.05,216.98,6553519
226,2021-10-15,218.165,219.61,216.28,217.04,8773359
227,2021-10-14,221.07,222.18,217.0411,217.44,10427321
228,2021-10-13,224.0,224.2995,219.36,221.78,8240198
229,2021-10-12,226.0,228.66,223.12,223.57,8486823
230,2021-10-11,226.5,232.1,225.32,226.45,7287044
