,timestamp,open,high,low,close,volume
0,2022-08-10,236.99,244.54,236.5958,244.11,9254760
1,2022-08-09,231.62,232.1999,224.65,229.94,6181194
2,2022-08-08,227.49,241.9599,226.41,233.49,10997409
3,2022-08-05,225.3,228.62,222.87,226.78,5539733
4,2022-08-04,227.68,232.07,225.05,229.91,7142741
5,2022-08-03,224.79,228.1,222.42,226.73,6400701
6,2022-08-02,222.76,228.2,220.88,221.42,6361327
7,2022-08-01,223.095,228.39,221.0,226.21,5525044
8,2022-07-29,223.29,230.75,222.4,224.9,9064937
9,2022-07-28,224.6,228.1,219.67,226.02,8972738
10,2022-07-27,216.48,227.78,214.58,226.75,10508385
11,2022-07-26,216.66,219.39,211.64,213.91,9508532
12,2022-07-25,221.31,225.23,216.35,218.51,10935247
13,2022-07-22,222.38,229.35,218.44,220.44,17805452
14,2022-07-21,214.3,224.32,211.5,223.88,23430117
15,2022-07-20,208.17,216.9699,200.1,216.44,53920266
16,2022-07-19,193.02,201.97,188.4,201.63,28178716
17,2022-07-18,192.5,199.67,189.8,190.92,16322845
18,2022-07-15,175.58,189.22,174.56,189.11,16319116
19,2022-07-14,175.56,177.52,171.82,174.78,9039457
20,2022-07-13,170.5,179.18,169.702,176.56,12734421
21,2022-07-12,177.33,179.7839,173.42,174.45,6845264
22,2022-07-11,184.73,184.99,176.89,177.34,6048447
23,2022-07-08,186.02,189.91,182.75,186.975,5835680
24,2022-07-07,184.27,190.21,183.5,189.27,6334545
25,2022-07-06,185.2,186.22,180.82,184.06,5753385
26,2022-07-05,176.28,185.92,172.6801,185.88,7339023
27,2022-07-01,176.49,180.1,174.27,179.95,5201583
28,2022-06-30,177.07,179.45,170.3,174.87,7894710
29,2022-06-29,179.55,180.665,175.1,178.36,5766847
30,2022-06-28,189.2,192.2,179.37,179.6,7201897
31,2022-06-27,191.77,191.78,182.39,189.14,8363879
32,2022-06-24,183.5,191.19,181.84,190.85,12423974
33,2022-06-23,180.5,182.76,175.87,181.71,9538226
34,2022-06-22,170.75,182.82,170.2,178.89,12010615
35,2022-06-21,177.6,178.6189,169.8,170.91,12177592
36,2022-06-17,173.63,179.65,173.34,175.51,12133372
37,2022-06-16,174.0,176.27,171.56,173.35,8201306
38,2022-06-15,169.258,183.845,168.53,180.11,12396041
39,2022-06-14,169.75,172.0622,164.28,167.54,11555323
40,2022-06-13,177.07,179.09,168.9571,169.69,10222407
41,2022-06-10,182.64,185.86,180.85,182.94,13074280
42,2022-06-09,200.65,201.69,192.54,192.77,6948967
43,2022-06-08,197.95,207.38,197.64,202.83,7244121
44,2022-06-07,194.87,199.6,193.0,198.61,4839491
45,2022-06-06,202.09,203.87,195.38,197.14,5372043
46,2022-06-03,200.14,202.95,198.05,198.98,7191775
47,2022-06-02,192.02,205.47,191.72,205.09,9623121
48,2022-06-01,198.7,202.74,191.6606,192.91,8416151
49,2022-05-31,196.18,199.95,190.8,197.44,11398460
50,2022-05-27,193.19,195.25,190.3722,195.19,8585987
51,2022-05-26,186.49,192.3402,183.0916,191.4,8049933
52,2022-05-25,180.28,188.87,180.17,187.83,8522092
53,2022-05-24,182.0,184.0,177.17,180.34,7706372
54,2022-05-23,186.15,187.66,177.89,187.44,9602027
55,2022-05-20,185.8665,190.19,179.77,186.35,10429396
56,2022-05-19,178.045,186.3,175.71,183.48,10448513
57,2022-05-18,186.72,187.7,176.27,177.19,9665632
58,2022-05-17,189.17,191.4,185.17,190.56,9876685
59,2022-05-16,193.3,195.89,185.7,186.51,16145011
60,2022-05-13,177.16,187.77,176.01,187.64,13136334
61,2022-05-12,163.96,177.58,162.71,174.31,17662118
62,2022-05-11,176.09,180.92,165.55,166.37,12665518
63,2022-05-10,176.01,181.8712,170.57,177.66,13883905
64,2022-05-09,177.655,183.2,172.3,173.1,14031327
65,2022-05-06,186.75,187.21,175.81,180.97,17185475
66,2022-05-05,200.45,200.71,186.0,188.32,13971326
67,2022-05-04,197.65,204.38,191.01,204.01,12108505
68,2022-05-03,198.29,203.2,194.77,199.87,11839431
69,2022-05-02,191.71,200.2141,190.01,199.46,14591602
70,2022-04-29,198.68,204.71,190.0,190.36,16391889
71,2022-04-28,191.56,201.48,185.6,199.52,21363162
72,2022-04-27,194.005,200.19,187.77,188.54,22298394
73,2022-04-26,208.8,209.15,198.2773,198.4,20064274
74,2022-04-25,213.81,216.66,204.51,209.91,28152045
75,2022-04-22,220.18,226.27,210.05,215.52,37515127
76,2022-04-21,220.0,227.68,211.52,218.22,53501603
77,2022-04-20,245.2,248.7,212.51,226.19,132644607
78,2022-04-19,333.22,351.68,333.22,348.61,20906885
79,2022-04-18,340.0,342.36,331.615,337.86,5105041
80,2022-04-14,350.95,352.0,339.86,341.13,4343837
81,2022-04-13,343.92,352.0,341.155,350.43,3230950
82,2022-04-12,355.91,359.41,342.25,344.1,3824261
83,2022-04-11,350.0,354.78,345.2,348.0,3777096
84,2022-04-08,361.96,362.5,354.865,355.88,4025183
85,2022-04-07,365.0,368.54,353.6897,362.15,4948909
86,2022-04-06,374.15,376.4699,362.73,368.35,4354885
87,2022-04-05,389.3,390.0,377.305,380.15,4127937
88,2022-04-04,373.55,396.02,373.13,391.5,7009235
89,2022-04-01,376.8,380.87,368.5,373.47,4644237
90,2022-03-31,383.59,384.0,373.61,374.59,4134720
91,2022-03-30,389.55,392.7,378.625,381.47,4023301
92,2022-03-29,384.39,396.5,380.33,391.82,5880723
93,2022-03-28,375.23,380.28,366.73,378.51,4323435
94,2022-03-25,377.07,377.64,366.43,373.85,3568441
95,2022-03-24,379.76,379.76,368.9,375.71,3888461
96,2022-03-23,379.77,382.46,374.49,374.49,3728954
97,2022-03-22,371.14,386.66,366.76,382.92,4209911
98,2022-03-21,378.02,381.82,368.94,374.59,4612272
99,2022-03-18,372.0,381.8,368.47,380.6,8252687
